,CI_Cat,CI_Subcat,Impact,Urgency,Priority,Category,No_of_Reassignments,Closure_Code,Handle_Time_hrs,Ticket_Age,Open_Hour,Open_Day,Open_Month,Open_Year,Is_Weekend,is_network,is_app
30,application,Web Based Application,4,4,4.0,incident,9.0,Other,7369.2,307,11,1,2,2013,False,0,1
31,application,Web Based Application,4,4,4.0,incident,2.0,Other,6267.716666666666,261,10,2,2,2013,False,0,1
32,subapplication,Web Based Application,4,4,4.0,incident,1.0,Other,9114.216666666667,379,16,0,2,2013,False,0,1
33,application,Web Based Application,4,4,4.0,incident,2.0,Other,6212.933333333333,258,16,1,2,2013,False,0,1
34,application,Web Based Application,4,4,4.0,incident,2.0,Other,6670.216666666666,277,12,3,2,2013,False,0,1
35,application,Web Based Application,4,4,4.0,incident,0.0,No error - works as designed,6359.816666666667,264,16,3,2,2013,False,0,1
36,subapplication,Web Based Application,5,5,5.0,request for information,3.0,Software,7970.416666666667,332,10,4,3,2013,False,0,1
37,subapplication,Web Based Application,4,4,4.0,incident,2.0,No error - works as designed,5979.033333333334,249,12,0,3,2013,False,0,1
38,application,Web Based Application,3,3,3.0,incident,4.0,Software,5953.616666666667,248,13,1,3,2013,False,0,1
39,application,Server Based Application,5,5,5.0,incident,25.0,Other,5092.55,212,9,0,3,2013,False,0,1
40,subapplication,Web Based Application,4,4,4.0,incident,8.0,No error - works as designed,5789.666666666667,241,9,1,3,2013,False,0,1
41,application,Web Based Application,4,4,4.0,incident,4.0,Other,7124.433333333333,296,15,4,3,2013,False,0,1
42,application,SAP,5,5,5.0,request for information,30.0,Other,4648.966666666666,193,14,3,3,2013,False,0,0
43,subapplication,Web Based Application,3,3,3.0,incident,15.0,Other,8713.083333333334,363,12,1,3,2013,False,0,1
44,subapplication,Web Based Application,4,4,4.0,incident,9.0,Data,6672.483333333334,278,10,2,3,2013,False,0,1
45,application,SAP,5,5,5.0,request for information,37.0,Software,4727.533333333334,196,12,2,4,2013,False,0,0
46,application,SAP,4,4,4.0,incident,26.0,Other,6889.8,287,12,3,4,2013,False,0,0
47,application,Server Based Application,4,3,3.0,incident,7.0,Other,6456.383333333333,269,10,4,4,2013,False,0,1
48,application,Web Based Application,4,4,4.0,incident,6.0,Other,5857.683333333333,244,10,4,4,2013,False,0,1
49,application,Web Based Application,4,4,4.0,incident,2.0,Software,5114.783333333334,213,12,1,4,2013,False,0,1
50,application,Web Based Application,4,4,4.0,incident,4.0,No error - works as designed,5090.35,212,13,2,4,2013,False,0,1
51,application,Web Based Application,3,4,3.0,incident,4.0,No error - works as designed,5088.55,212,15,2,4,2013,False,0,1
52,application,SAP,5,5,5.0,request for information,32.0,Other,5041.1,210,11,1,4,2013,False,0,0
53,application,Client Based Application,4,4,4.0,incident,9.0,Software,5399.533333333334,224,14,1,4,2013,False,0,1
54,application,Server Based Application,5,5,5.0,incident,1.0,Unknown,6727.233333333334,280,9,2,4,2013,False,0,1
55,application,Server Based Application,4,4,4.0,incident,1.0,Other,4172.9,173,14,2,4,2013,False,0,1
56,application,Server Based Application,5,5,5.0,request for information,12.0,Other,6904.983333333334,287,16,2,4,2013,False,0,1
57,subapplication,Citrix,4,4,4.0,incident,4.0,Software,4323.9,180,8,4,4,2013,False,0,0
58,application,Standard Application,4,4,4.0,incident,8.0,Software,6771.4,282,12,0,4,2013,False,0,1
59,application,Web Based Application,4,5,4.0,incident,1.0,Other,4105.066666666667,171,15,2,4,2013,False,0,1
60,application,Server Based Application,3,3,3.0,incident,1.0,Other,5476.2,228,10,3,4,2013,False,0,1
61,application,Web Based Application,4,4,4.0,incident,8.0,Other,4822.916666666667,200,14,3,4,2013,False,0,1
62,application,Web Based Application,4,4,4.0,incident,2.0,Hardware,4822.583333333333,200,14,3,4,2013,False,0,1
63,application,Web Based Application,4,4,4.0,incident,4.0,Other,4798.0,199,15,4,4,2013,False,0,1
64,application,Web Based Application,4,4,4.0,incident,4.0,Other,4681.783333333334,195,11,2,5,2013,False,0,1
65,application,Web Based Application,5,5,5.0,incident,9.0,Software,6026.45,251,12,4,5,2013,False,0,1
66,subapplication,Web Based Application,4,4,4.0,incident,4.0,Other,4563.4,190,10,0,5,2013,False,0,1
67,application,Web Based Application,4,4,4.0,incident,2.0,Unknown,4560.216666666666,190,13,0,5,2013,False,0,1
68,application,Server Based Application,4,4,4.0,incident,8.0,Other,5451.816666666667,227,11,1,5,2013,False,0,1
69,application,Server Based Application,4,4,4.0,incident,3.0,No error - works as designed,5878.1,244,11,1,5,2013,False,0,1
70,application,Web Based Application,4,4,4.0,incident,13.0,Other,5085.25,211,14,1,5,2013,False,0,1
71,application,Client Based Application,5,5,5.0,incident,15.0,Other,5177.633333333333,215,15,1,5,2013,False,0,1
72,application,Web Based Application,4,4,4.0,incident,8.0,Other,5084.066666666667,211,15,1,5,2013,False,0,1
73,application,Server Based Application,5,5,5.0,request for information,8.0,Other,3936.733333333333,164,11,4,5,2013,False,0,1
74,application,Web Based Application,3,3,3.0,incident,2.0,Other,4394.333333333333,183,11,0,5,2013,False,0,1
75,application,Web Based Application,4,4,4.0,incident,7.0,Software,7052.0,293,12,2,5,2013,False,0,1
76,application,Server Based Application,3,3,3.0,incident,6.0,Unknown,5774.3,240,0,2,5,2013,False,0,1
77,application,Web Based Application,4,4,4.0,incident,2.0,Other,4179.45,174,10,2,5,2013,False,0,1
78,application,Server Based Application,4,4,4.0,incident,22.0,Other,3482.9,145,11,2,5,2013,False,0,1
79,application,Web Based Application,5,5,5.0,incident,10.0,Other,4178.083333333333,174,12,2,5,2013,False,0,1
80,application,Web Based Application,4,4,4.0,incident,4.0,Unknown,4175.833333333333,173,14,2,5,2013,False,0,1
81,application,Server Based Application,3,3,3.0,incident,3.0,Other,3364.016666666667,140,10,3,5,2013,False,0,1
82,application,Web Based Application,4,4,4.0,incident,2.0,Other,4150.983333333334,172,14,3,5,2013,False,0,1
83,application,Server Based Application,3,3,3.0,incident,1.0,Other,3510.3,146,8,4,5,2013,False,0,1
84,application,Web Based Application,4,4,4.0,incident,0.0,Other,4678.9,194,9,4,5,2013,False,0,1
85,application,Server Based Application,4,4,4.0,request for information,10.0,Software,5620.466666666666,234,10,0,5,2013,False,0,1
86,subapplication,Web Based Application,4,4,4.0,incident,2.0,Other,4054.05,168,15,0,5,2013,False,0,1
87,application,Server Based Application,5,5,5.0,incident,5.0,No error - works as designed,3882.133333333333,161,16,0,5,2013,False,0,1
88,application,SAP,5,5,5.0,request for information,12.0,Software,3220.4166666666665,134,9,2,5,2013,False,0,0
89,application,Server Based Application,5,5,5.0,request for information,6.0,Other,3816.7833333333333,159,14,3,5,2013,False,0,1
90,application,Web Based Application,3,3,3.0,incident,2.0,Other,3964.383333333333,165,9,4,5,2013,False,0,1
91,subapplication,Web Based Application,4,4,4.0,incident,4.0,Other,3891.633333333333,162,10,0,6,2013,False,0,1
92,application,Web Based Application,4,4,4.0,incident,2.0,Other,3868.2166666666667,161,9,1,6,2013,False,0,1
93,application,Web Based Application,4,4,4.0,incident,2.0,Other,3867.7,161,10,1,6,2013,False,0,1
94,application,Server Based Application,4,4,4.0,incident,3.0,Unknown,5730.566666666667,238,16,1,6,2013,False,0,1
95,subapplication,Web Based Application,5,5,5.0,incident,1.0,Software,4040.3166666666666,168,8,2,6,2013,False,0,1
96,application,SAP,5,5,5.0,request for information,15.0,Questions,3344.45,139,8,3,6,2013,False,0,0
97,application,Server Based Application,4,4,4.0,incident,6.0,Operator error,4347.666666666667,181,11,3,6,2013,False,0,1
98,application,Web Based Application,4,5,4.0,incident,15.0,Unknown,3798.5666666666666,158,8,0,6,2013,False,0,1
99,application,Standard Application,3,3,3.0,incident,3.0,Other,5593.516666666666,233,13,0,6,2013,False,0,1
100,application,Web Based Application,4,4,4.0,incident,26.0,No error - works as designed,3717.75,154,16,0,6,2013,False,0,1
101,application,Web Based Application,4,4,4.0,incident,2.0,Other,3716.983333333333,154,16,0,6,2013,False,0,1
102,application,Web Based Application,4,4,4.0,incident,5.0,Software,3051.6833333333334,127,10,1,6,2013,False,0,1
103,application,Server Based Application,4,3,4.0,incident,1.0,Other,3070.766666666667,127,16,1,6,2013,False,0,1
104,application,Web Based Application,4,4,4.0,incident,7.0,Other,3669.2833333333333,152,16,2,6,2013,False,0,1
105,application,Web Based Application,4,4,4.0,incident,2.0,Other,3670.7833333333333,152,14,2,6,2013,False,0,1
106,subapplication,Web Based Application,4,4,4.0,incident,2.0,Unknown,3459.633333333333,144,10,3,6,2013,False,0,1
107,application,Server Based Application,3,3,3.0,incident,1.0,Other,4300.383333333333,179,10,3,6,2013,False,0,1
108,application,SAP,5,5,5.0,incident,9.0,Other,4509.366666666667,187,11,3,6,2013,False,0,0
109,application,Server Based Application,5,5,5.0,incident,2.0,Software,3836.7166666666667,159,13,4,6,2013,False,0,1
110,application,Web Based Application,3,3,3.0,incident,2.0,Other,3554.5833333333335,148,11,0,6,2013,False,0,1
111,application,Web Based Application,4,4,4.0,incident,4.0,Other,3550.983333333333,147,14,0,6,2013,False,0,1
112,application,Web Based Application,5,5,5.0,request for information,8.0,Other,3528.8166666666666,147,13,1,6,2013,False,0,1
113,application,Web Based Application,4,4,4.0,incident,6.0,Software,3417.2,142,5,2,6,2013,False,0,1
114,application,Web Based Application,5,5,5.0,incident,0.0,Software,2713.883333333333,113,15,2,6,2013,False,0,1
115,computer,Windows Server,4,4,4.0,incident,7.0,Software,5735.466666666666,238,15,2,6,2013,False,0,0
116,application,Web Based Application,5,5,5.0,incident,6.0,No error - works as designed,5514.533333333334,229,13,3,6,2013,False,0,1
117,application,Web Based Application,4,4,4.0,incident,2.0,Other,3383.133333333333,140,14,0,6,2013,False,0,1
118,application,Web Based Application,4,4,4.0,incident,2.0,Other,3338.1833333333334,139,11,2,6,2013,False,0,1
119,application,Standard Application,5,5,5.0,incident,2.0,Software,3477.1,144,12,2,6,2013,False,0,1
120,application,Web Based Application,4,4,4.0,incident,13.0,Other,5549.1,231,10,3,6,2013,False,0,1
121,subapplication,Web Based Application,3,3,3.0,incident,6.0,Software,3317.05,138,10,3,6,2013,False,0,1
122,application,Web Based Application,4,4,4.0,incident,4.0,Other,3312.9666666666667,138,12,3,6,2013,False,0,1
123,application,Server Based Application,3,3,3.0,incident,1.0,Software,3943.266666666667,164,7,4,6,2013,False,0,1
124,application,Server Based Application,5,5,5.0,incident,1.0,Software,4662.7,194,8,4,6,2013,False,0,1
125,application,Web Based Application,4,4,4.0,incident,2.0,No error - works as designed,3292.9666666666667,137,9,4,6,2013,False,0,1
126,subapplication,Server Based Application,3,3,3.0,incident,3.0,Unknown,2354.2833333333333,98,12,4,6,2013,False,0,1
127,application,Web Based Application,4,4,4.0,incident,2.0,Other,3218.3166666666666,134,11,0,7,2013,False,0,1
128,application,Web Based Application,4,4,4.0,incident,6.0,Software,4100.9,170,14,0,7,2013,False,0,1
129,subapplication,Web Based Application,4,4,4.0,incident,3.0,Software,5521.6,230,11,1,7,2013,False,0,1
130,application,Web Based Application,4,4,4.0,incident,10.0,Other,3167.9333333333334,131,14,2,7,2013,False,0,1
131,application,Server Based Application,4,4,4.0,incident,5.0,Operator error,2476.016666666667,103,10,3,7,2013,False,0,1
132,subapplication,Web Based Application,5,5,5.0,incident,2.0,Software,2158.15,89,10,3,7,2013,False,0,1
133,application,Web Based Application,5,5,5.0,incident,7.0,Other,2137.016666666667,89,15,3,7,2013,False,0,1
134,application,Standard Application,4,4,4.0,incident,2.0,Operator error,3259.8166666666666,135,13,4,7,2013,False,0,1
135,application,Standard Application,3,3,3.0,incident,0.0,Other,3581.2,149,9,0,7,2013,False,0,1
136,application,Standard Application,5,5,5.0,incident,2.0,Software,3191.516666666667,132,9,0,7,2013,False,0,1
137,application,Server Based Application,4,4,4.0,incident,7.0,Other,2450.016666666667,102,11,0,7,2013,False,0,1
138,application,Client Based Application,4,4,4.0,incident,12.0,Unknown,2369.633333333333,98,15,0,7,2013,False,0,1
139,application,Server Based Application,4,4,4.0,incident,10.0,Software,2180.6,90,12,1,7,2013,False,0,1
140,application,Web Based Application,5,5,5.0,incident,7.0,No error - works as designed,2824.9333333333334,117,15,1,7,2013,False,0,1
141,application,Server Based Application,3,3,3.0,incident,1.0,Other,3670.6666666666665,152,16,1,7,2013,False,0,1
142,application,Web Based Application,5,5,5.0,incident,12.0,Software,2689.8166666666666,112,10,2,7,2013,False,0,1
143,application,Standard Application,4,4,4.0,incident,2.0,Software,3139.35,130,13,2,7,2013,False,0,1
144,application,Web Based Application,4,4,4.0,incident,2.0,Other,2980.5833333333335,124,9,3,7,2013,False,0,1
145,application,Web Based Application,4,4,4.0,incident,3.0,No error - works as designed,4224.233333333334,176,11,3,7,2013,False,0,1
146,subapplication,Web Based Application,4,4,4.0,incident,13.0,Software,6220.283333333334,259,10,3,7,2013,False,0,1
147,application,Server Based Application,4,3,4.0,incident,2.0,Other,3627.0333333333333,151,11,3,7,2013,False,0,1
148,application,Web Based Application,3,3,3.0,incident,2.0,Other,2978.133333333333,124,12,3,7,2013,False,0,1
149,subapplication,Web Based Application,4,4,4.0,incident,4.0,Software,1962.8333333333333,81,15,3,7,2013,False,0,1
150,application,Server Based Application,3,3,3.0,incident,4.0,Other,2158.866666666667,89,16,3,7,2013,False,0,1
151,application,Server Based Application,3,3,3.0,incident,1.0,Other,2142.0833333333335,89,8,4,7,2013,False,0,1
152,application,Server Based Application,4,3,4.0,incident,1.0,Other,3605.65,150,9,4,7,2013,False,0,1
153,application,Web Based Application,4,4,4.0,incident,4.0,No error - works as designed,2951.9666666666667,122,14,4,7,2013,False,0,1
154,subapplication,Web Based Application,4,4,4.0,incident,2.0,Referred,3312.4166666666665,138,15,4,7,2013,False,0,1
155,application,Server Based Application,5,5,5.0,request for information,4.0,Other,2447.6,101,8,0,7,2013,False,0,1
156,application,Web Based Application,3,3,3.0,incident,2.0,Other,2885.05,120,9,0,7,2013,False,0,1
157,subapplication,Web Based Application,4,4,4.0,incident,3.0,Unknown,2880.4,120,9,0,7,2013,False,0,1
158,application,Web Based Application,4,4,4.0,incident,2.0,Other,2381.45,99,14,0,7,2013,False,0,1
159,application,Server Based Application,4,4,4.0,incident,3.0,Software,4200.15,175,14,0,7,2013,False,0,1
160,application,Web Based Application,5,5,5.0,incident,2.0,Other,2879.75,119,14,0,7,2013,False,0,1
161,application,Server Based Application,3,3,3.0,incident,3.0,Software,1871.3166666666666,77,15,0,7,2013,False,0,1
162,application,Server Based Application,3,3,3.0,incident,3.0,Unknown,2547.366666666667,106,9,1,7,2013,False,0,1
163,application,Server Based Application,3,3,3.0,incident,3.0,Other,3510.133333333333,146,8,1,7,2013,False,0,1
164,application,Web Based Application,4,4,4.0,incident,5.0,Other,2855.0666666666666,118,15,1,7,2013,False,0,1
165,application,Server Based Application,4,4,4.0,incident,2.0,Other,3502.766666666667,145,15,1,7,2013,False,0,1
166,application,Server Based Application,4,3,4.0,incident,1.0,Other,3502.2166666666667,145,16,1,7,2013,False,0,1
167,application,Client Based Application,4,3,3.0,incident,3.0,Software,2060.5666666666666,85,15,1,7,2013,False,0,1
168,application,Web Based Application,4,4,4.0,incident,12.0,Other,4027.5,167,17,1,7,2013,False,0,1
169,application,Web Based Application,4,4,4.0,incident,10.0,Other,2811.366666666667,117,9,2,7,2013,False,0,1
170,computer,Laptop,5,5,5.0,incident,10.0,User error,2042.0666666666666,85,8,2,7,2013,False,0,0
171,subapplication,Web Based Application,5,5,5.0,incident,13.0,Other,1829.1,76,10,2,7,2013,False,0,1
172,application,Web Based Application,4,4,4.0,incident,4.0,Software,5542.016666666666,230,14,2,7,2013,False,0,1
173,application,Web Based Application,3,3,3.0,incident,6.0,No error - works as designed,4702.633333333333,195,14,2,7,2013,False,0,1
174,application,Web Based Application,4,4,4.0,incident,8.0,Unknown,2115.633333333333,88,10,4,7,2013,False,0,1
175,application,Desktop Application,5,5,5.0,request for information,21.0,Software,2086.95,86,9,0,7,2013,False,0,1
176,application,Web Based Application,4,4,4.0,incident,6.0,Other,2712.4,113,14,0,7,2013,False,0,1
177,subapplication,Web Based Application,4,4,4.0,incident,2.0,Other,4102.816666666667,170,9,1,7,2013,False,0,1
178,application,Web Based Application,4,4,4.0,incident,6.0,Other,2692.133333333333,112,10,1,7,2013,False,0,1
179,application,Server Based Application,4,4,4.0,incident,5.0,Data,3600.15,150,11,1,7,2013,False,0,1
180,application,Server Based Application,3,3,3.0,incident,1.0,Other,3338.616666666667,139,11,1,7,2013,False,0,1
181,application,Web Based Application,4,4,4.0,incident,6.0,Other,2688.1833333333334,112,13,1,7,2013,False,0,1
182,application,Web Based Application,3,3,3.0,incident,2.0,Unknown,1660.4,69,12,2,7,2013,False,0,1
183,application,Server Based Application,4,3,4.0,incident,25.0,Other,1801.4666666666667,75,13,3,7,2013,False,0,1
184,application,Web Based Application,5,5,5.0,incident,2.0,Software,1636.8166666666666,68,11,3,7,2013,False,0,1
185,application,Web Based Application,4,4,4.0,incident,2.0,Other,2638.8,109,15,3,7,2013,False,0,1
186,application,Web Based Application,4,4,4.0,incident,2.0,Other,2620.233333333333,109,9,4,7,2013,False,0,1
187,application,Web Based Application,4,4,4.0,incident,2.0,No error - works as designed,2616.8166666666666,109,13,4,7,2013,False,0,1
188,application,Web Based Application,4,4,4.0,incident,9.0,Unknown,3723.133333333333,155,9,0,7,2013,False,0,1
189,application,SAP,5,5,5.0,request for information,0.0,Other,1705.1,71,12,0,7,2013,False,0,0
190,application,Desktop Application,5,5,5.0,incident,0.0,Software,1753.0833333333333,73,11,0,7,2013,False,0,1
191,application,Web Based Application,4,4,4.0,incident,2.0,Other,2929.2166666666667,122,12,0,7,2013,False,0,1
192,application,Web Based Application,4,4,4.0,incident,8.0,No error - works as designed,2547.1,106,11,0,7,2013,False,0,1
193,application,Client Based Application,5,5,5.0,incident,0.0,Other,3183.616666666667,132,17,0,7,2013,False,0,1
194,computer,Laptop,5,5,5.0,incident,7.0,Hardware,2692.95,112,8,1,7,2013,False,0,0
195,application,Web Based Application,4,4,4.0,incident,2.0,Other,2522.7833333333333,105,11,1,7,2013,False,0,1
196,application,Server Based Application,5,5,5.0,request for information,0.0,Other,1680.95,70,13,1,7,2013,False,0,1
197,application,Web Based Application,4,4,4.0,incident,4.0,Other,2521.766666666667,105,12,1,7,2013,False,0,1
198,application,Server Based Application,4,4,4.0,request for information,1.0,Inquiry,1680.2166666666667,70,14,1,7,2013,False,0,1
199,application,SAP,5,5,5.0,request for information,5.0,Other,1826.65,76,9,2,7,2013,False,0,0
200,application,Server Based Application,4,4,4.0,incident,19.0,Software,2951.6833333333334,122,11,3,8,2013,False,0,1
201,application,Web Based Application,4,4,4.0,incident,3.0,Software,1944.8833333333334,81,13,3,8,2013,False,0,1
202,application,SAP,5,5,5.0,request for information,4.0,Other,1533.65,63,11,0,8,2013,False,0,0
203,application,Web Based Application,4,4,4.0,incident,4.0,Other,2378.1833333333334,99,12,0,8,2013,False,0,1
204,application,Web Based Application,4,4,4.0,incident,2.0,No error - works as designed,2375.8166666666666,98,14,0,8,2013,False,0,1
205,application,SAP,5,5,5.0,request for information,5.0,Other,1394.4833333333333,58,8,1,8,2013,False,0,0
206,application,Web Based Application,4,4,4.0,incident,10.0,Software,1919.1333333333334,79,9,1,8,2013,False,0,1
207,computer,Linux Server,3,3,3.0,incident,9.0,Other,2712.85,113,15,1,8,2013,False,0,0
208,application,Web Based Application,4,4,4.0,incident,2.0,Other,2332.5666666666666,97,9,2,8,2013,False,0,1
209,application,Web Based Application,4,4,4.0,incident,6.0,Other,2329.4166666666665,97,12,2,8,2013,False,0,1
210,application,Web Based Application,4,4,4.0,incident,6.0,Software,3213.65,133,13,2,8,2013,False,0,1
211,application,Web Based Application,4,4,4.0,incident,2.0,Other,2899.95,120,14,2,8,2013,False,0,1
212,application,Web Based Application,4,4,4.0,incident,3.0,No error - works as designed,1654.85,68,14,2,8,2013,False,0,1
213,application,Web Based Application,4,4,4.0,incident,2.0,Other,2326.233333333333,96,15,2,8,2013,False,0,1
214,application,Server Based Application,4,4,4.0,incident,5.0,Unknown,2238.0666666666666,93,15,2,8,2013,False,0,1
215,application,Web Based Application,4,4,4.0,incident,7.0,Other,5499.116666666667,229,9,3,8,2013,False,0,1
216,subapplication,Web Based Application,4,4,4.0,incident,4.0,Software,1444.3,60,9,3,8,2013,False,0,1
217,application,Server Based Application,5,5,5.0,request for information,4.0,Other,5396.6,224,13,3,8,2013,False,0,1
218,application,Web Based Application,4,4,4.0,incident,11.0,Software,1611.6166666666666,67,12,3,8,2013,False,0,1
219,application,Server Based Application,4,4,4.0,incident,3.0,Software,1288.6,53,15,3,8,2013,False,0,1
220,application,SAP,5,5,5.0,incident,13.0,Operator error,1632.2166666666667,68,15,3,8,2013,False,0,0
221,application,Server Based Application,3,3,3.0,incident,1.0,Other,1749.4833333333333,72,11,4,8,2013,False,0,1
222,subapplication,Server Based Application,4,4,4.0,incident,4.0,Other,4414.766666666666,183,10,0,8,2013,False,0,1
223,application,SAP,5,5,5.0,request for information,25.0,Other,1684.9833333333333,70,11,0,8,2013,False,0,0
224,application,Server Based Application,4,4,4.0,incident,14.0,Software,2351.516666666667,97,11,0,8,2013,False,0,1
225,application,Web Based Application,4,4,4.0,incident,5.0,Other,1244.4,51,14,0,8,2013,False,0,1
226,application,Server Based Application,4,3,4.0,incident,2.0,Other,1244.45,51,14,0,8,2013,False,0,1
227,application,Web Based Application,4,4,4.0,incident,3.0,Unknown,3363.116666666667,140,10,1,8,2013,False,0,1
228,application,Server Based Application,4,4,4.0,incident,13.0,Software,1516.1833333333334,63,10,1,8,2013,False,0,1
229,application,Server Based Application,4,4,4.0,incident,3.0,Other,2401.516666666667,100,11,1,8,2013,False,0,1
230,application,Server Based Application,5,5,5.0,request for information,2.0,Inquiry,1421.15,59,13,1,8,2013,False,0,1
231,application,Web Based Application,4,4,4.0,incident,6.0,Other,3593.733333333333,149,14,1,8,2013,False,0,1
232,application,Web Based Application,5,5,5.0,incident,7.0,Software,1246.6666666666667,51,16,1,8,2013,False,0,1
233,application,SAP,5,5,5.0,request for information,2.0,Other,1293.7,53,10,2,8,2013,False,0,0
234,subapplication,Web Based Application,5,5,5.0,incident,3.0,Other,1639.3666666666666,68,13,2,8,2013,False,0,1
235,application,Server Based Application,3,3,3.0,incident,10.0,Other,1939.6333333333334,80,18,3,8,2013,False,0,1
236,application,Web Based Application,4,4,4.0,incident,4.0,Other,2666.1666666666665,111,9,4,8,2013,False,0,1
237,application,Standard Application,4,3,4.0,incident,0.0,Software,2183.1666666666665,90,10,0,8,2013,False,0,1
238,application,Web Based Application,4,4,4.0,incident,2.0,Software,1177.1333333333334,49,9,0,8,2013,False,0,1
239,application,Server Based Application,5,4,4.0,incident,7.0,No error - works as designed,4538.466666666666,189,14,0,8,2013,False,0,1
240,application,Web Based Application,4,4,4.0,incident,14.0,Other,2689.7,112,14,0,8,2013,False,0,1
241,application,Web Based Application,5,5,5.0,incident,5.0,Software,1030.9833333333333,42,16,0,8,2013,False,0,1
242,subapplication,Web Based Application,4,4,4.0,incident,2.0,Software,1217.2,50,16,0,8,2013,False,0,1
243,subapplication,Web Based Application,4,4,4.0,incident,1.0,No error - works as designed,1505.65,62,16,0,8,2013,False,0,1
244,application,Web Based Application,3,3,3.0,incident,9.0,No error - works as designed,1011.55,42,10,1,8,2013,False,0,1
245,application,Server Based Application,4,4,4.0,incident,7.0,Software,1343.7666666666667,55,15,1,8,2013,False,0,1
246,application,Web Based Application,4,4,4.0,incident,6.0,Other,1997.15,83,9,2,8,2013,False,0,1
247,subapplication,Web Based Application,5,5,5.0,request for information,5.0,Software,1056.9166666666667,44,17,1,8,2013,False,0,1
248,application,Web Based Application,4,4,4.0,incident,4.0,Other,1296.9,54,9,2,8,2013,False,0,1
249,application,Web Based Application,3,3,3.0,incident,2.0,User error,989.3,41,11,2,8,2013,False,0,1
250,application,Server Based Application,3,3,3.0,incident,7.0,Software,1705.8,71,12,2,8,2013,False,0,1
251,application,Web Based Application,4,4,4.0,incident,0.0,Other,1466.2666666666667,61,13,2,8,2013,False,0,1
252,subapplication,Web Based Application,4,4,4.0,incident,7.0,Other,1678.7,69,12,3,8,2013,False,0,1
253,application,Web Based Application,3,3,3.0,incident,2.0,Other,2853.383333333333,118,13,3,8,2013,False,0,1
